date,store_id,item_id,price,promo,sales
2025-01-01,S01,I01,284.85,0,13
2025-01-02,S01,I01,287.3,0,21
2025-01-03,S01,I01,290.47,0,23
2025-01-04,S01,I01,287.37,0,26
2025-01-05,S01,I01,287.19,1,25
2025-01-06,S01,I01,288.86,0,19
2025-01-07,S01,I01,283.58,0,17
2025-01-08,S01,I01,278.84,0,19
2025-01-09,S01,I01,287.31,0,25
2025-01-10,S01,I01,281.34,0,21
2025-01-11,S01,I01,283.84,0,27
2025-01-12,S01,I01,280.15,0,25
2025-01-13,S01,I01,288.81,0,20
2025-01-14,S01,I01,287.6,0,17
2025-01-15,S01,I01,278.59,0,21
2025-01-16,S01,I01,284.61,0,18
2025-01-17,S01,I01,288.36,0,16
2025-01-18,S01,I01,283.69,1,32
2025-01-19,S01,I01,284.14,0,18
2025-01-20,S01,I01,288.07,0,17
2025-01-21,S01,I01,283.14,0,21
2025-01-22,S01,I01,283.86,0,23
2025-01-23,S01,I01,287.34,0,20
2025-01-24,S01,I01,280.17,0,17
2025-01-25,S01,I01,281.47,0,25
2025-01-26,S01,I01,277.36,0,26
2025-01-27,S01,I01,292.23,0,24
2025-01-28,S01,I01,284.67,1,27
2025-01-29,S01,I01,288.4,0,22
2025-01-30,S01,I01,279.43,0,19
2025-01-31,S01,I01,289.16,0,16
2025-02-01,S01,I01,283.02,0,21
2025-02-02,S01,I01,289.71,0,24
2025-02-03,S01,I01,283.39,0,21
2025-02-04,S01,I01,279.86,0,17
2025-02-05,S01,I01,288.55,0,21
2025-02-06,S01,I01,284.44,0,17
2025-02-07,S01,I01,279.51,0,17
2025-02-08,S01,I01,277.62,0,29
2025-02-09,S01,I01,285.86,0,27
2025-02-10,S01,I01,284.09,0,18
2025-02-11,S01,I01,285.02,0,16
2025-02-12,S01,I01,285.14,0,22
2025-02-13,S01,I01,283.63,0,22
2025-02-14,S01,I01,285.72,0,21
2025-02-15,S01,I01,287.08,0,24
2025-02-16,S01,I01,283.61,0,22
2025-02-17,S01,I01,286.28,0,19
2025-02-18,S01,I01,286.49,0,23
2025-02-19,S01,I01,288.48,0,16
2025-02-20,S01,I01,275.27,0,19
2025-02-21,S01,I01,282.48,1,29
2025-02-22,S01,I01,286.4,0,24
2025-02-23,S01,I01,292.58,0,25
2025-02-24,S01,I01,288.92,0,15
2025-02-25,S01,I01,289.01,0,21
2025-02-26,S01,I01,294.83,0,17
2025-02-27,S01,I01,283.86,0,14
2025-02-28,S01,I01,292.48,0,16
2025-03-01,S01,I01,286.93,0,26
2025-03-02,S01,I01,280.28,0,20
2025-03-03,S01,I01,277.36,0,15
2025-03-04,S01,I01,283.29,0,21
2025-03-05,S01,I01,286.85,0,19
2025-03-06,S01,I01,283.14,0,16
2025-03-07,S01,I01,284.67,0,18
2025-03-08,S01,I01,291.87,0,30
2025-03-09,S01,I01,284.38,0,29
2025-03-10,S01,I01,292.06,1,24
2025-03-11,S01,I01,287.29,0,21
2025-03-12,S01,I01,288.46,0,19
2025-03-13,S01,I01,283.3,0,14
2025-03-14,S01,I01,283.91,0,13
2025-03-15,S01,I01,284.27,0,22
2025-03-16,S01,I01,283.85,1,25
2025-03-17,S01,I01,286.8,0,20
2025-03-18,S01,I01,289.36,0,17
2025-03-19,S01,I01,294.05,0,20
2025-03-20,S01,I01,281.4,0,20
2025-03-21,S01,I01,284.19,0,21
2025-03-22,S01,I01,288.18,0,22
2025-03-23,S01,I01,284.45,0,26
2025-03-24,S01,I01,279.02,0,16
2025-03-25,S01,I01,287.38,0,21
2025-03-26,S01,I01,280.99,1,28
2025-03-27,S01,I01,284.98,1,26
2025-03-28,S01,I01,291.08,0,18
2025-03-29,S01,I01,287.02,0,27
